ctr : 521  | I: 00af | Q: fee7
ctr : 522  | I: 0089 | Q: fed3
ctr : 523  | I: 005e | Q: febf
ctr : 524  | I: 004d | Q: fec3
ctr : 525  | I: 0053 | Q: fee5
ctr : 526  | I: 0001 | Q: 0134
ctr : 527  | I: 0025 | Q: 0124
ctr : 528  | I: 0045 | Q: 014c
ctr : 529  | I: 005d | Q: 0121
ctr : 530  | I: 0060 | Q: 0118
ctr : 531  | I: 0098 | Q: 00f7
ctr : 532  | I: 00a1 | Q: 011c
ctr : 533  | I: 00c9 | Q: 00f9
ctr : 534  | I: 00d3 | Q: 00f5
ctr : 535  | I: 00c6 | Q: 00b4
ctr : 536  | I: ff0e | Q: ff4c
ctr : 537  | I: 010d | Q: 0093
ctr : 538  | I: 0128 | Q: 006d
ctr : 539  | I: 0104 | Q: 0032
ctr : 540  | I: 010b | Q: 0038
ctr : 541  | I: fed6 | Q: 0001
ctr : 542  | I: fee5 | Q: 000a
ctr : 543  | I: fec3 | Q: 0052
ctr : 544  | I: feb9 | Q: 002e
ctr : 545  | I: fedb | Q: 0067
ctr : 546  | I: fef7 | Q: 0070
ctr : 547  | I: fee3 | Q: 007a
ctr : 548  | I: ff15 | Q: 00c3
ctr : 549  | I: ff1c | Q: 00c4
ctr : 550  | I: ff18 | Q: 00e8
ctr : 551  | I: 00b1 | Q: ff34
ctr : 552  | I: 009a | Q: fedd
ctr : 553  | I: 009f | Q: fed0
ctr : 554  | I: ff7e | Q: 012c
ctr : 555  | I: ff9d | Q: 0141
ctr : 556  | I: ffc4 | Q: 0155
ctr : 557  | I: fff8 | Q: febf
ctr : 558  | I: 0010 | Q: 012f
ctr : 559  | I: fff6 | Q: feef
ctr : 560  | I: 008e | Q: 0140
ctr : 561  | I: ffa6 | Q: fef4
ctr : 562  | I: ff58 | Q: fef5
ctr : 563  | I: ff5c | Q: fefc
ctr : 564  | I: ff45 | Q: ff2e
ctr : 565  | I: ff13 | Q: ff3b
ctr : 566  | I: ff11 | Q: ff34
ctr : 567  | I: fef0 | Q: ff3e
ctr : 568  | I: ff03 | Q: ff65
ctr : 569  | I: fefb | Q: ffab
ctr : 570  | I: fef5 | Q: ff9e
ctr : 571  | I: fef3 | Q: ffd4
ctr : 572  | I: 0132 | Q: 001d
ctr : 573  | I: fed3 | Q: 0000
ctr : 574  | I: feee | Q: 0030
ctr : 575  | I: feee | Q: 004c
ctr : 576  | I: ff0a | Q: 005c
ctr : 577  | I: 00ca | Q: ff53
ctr : 578  | I: 00ca | Q: ff76
ctr : 579  | I: 00b6 | Q: ff40
ctr : 580  | I: 00a6 | Q: ff37
ctr : 581  | I: 0084 | Q: ff48
ctr : 582  | I: 0087 | Q: ff34
ctr : 583  | I: 006c | Q: ff3e
ctr : 584  | I: 0043 | Q: ff26
ctr : 585  | I: 0041 | Q: ff1d
ctr : 586  | I: 0011 | Q: ff09
ctr : 587  | I: ffdf | Q: 00cd
ctr : 588  | I: fffe | Q: 00f2
ctr : 589  | I: fff6 | Q: 00f8
ctr : 590  | I: ffee | Q: ff31
ctr : 591  | I: ffef | Q: ff33
ctr : 592  | I: ffb9 | Q: ff2f
ctr : 593  | I: 005e | Q: 00cf
ctr : 594  | I: 002f | Q: 00b9
ctr : 595  | I: 0072 | Q: 00a1
ctr : 596  | I: 005d | Q: 00b1
ctr : 597  | I: 006c | Q: 00be
ctr : 598  | I: 0075 | Q: 00b9
ctr : 599  | I: 0079 | Q: 0093
ctr : 600  | I: 00a1 | Q: 008f
ctr : 601  | I: 00a0 | Q: 0077
ctr : 602  | I: 00ac | Q: 0078
ctr : 603  | I: 00bf | Q: 005a
ctr : 604  | I: ff3d | Q: ffa5
ctr : 605  | I: 00c2 | Q: 0066
ctr : 606  | I: 00d9 | Q: 0032
ctr : 607  | I: 00c1 | Q: 002d
ctr : 608  | I: 00f4 | Q: 0015
ctr : 609  | I: 012c | Q: 0006
ctr : 610  | I: 00e5 | Q: ffef
ctr : 611  | I: 00ef | Q: ffdb
ctr : 612  | I: 0112 | Q: ffbf
ctr : 613  | I: feed | Q: 005d
ctr : 614  | I: ff13 | Q: 006b
ctr : 615  | I: ff0d | Q: 00a0
ctr : 616  | I: ff22 | Q: 00a6
ctr : 617  | I: ff35 | Q: 00e1
ctr : 618  | I: ff14 | Q: 00f3
ctr : 619  | I: ff43 | Q: 00ea
ctr : 620  | I: ff62 | Q: 0115
ctr : 621  | I: ff84 | Q: 0128
ctr : 622  | I: 005a | Q: fec8
ctr : 623  | I: 0047 | Q: fee7
ctr : 624  | I: 0025 | Q: fec3
ctr : 625  | I: fff0 | Q: fecc
ctr : 626  | I: ffe6 | Q: feaf
ctr : 627  | I: ffb8 | Q: fed3
ctr : 628  | I: ff9c | Q: feae
